line_number,error,prefix,orig
75,not_enough_parts,"""Sadico-Crudele e Masochista","""Sadico-Crudele e Masochista,""""1.              Gallio: """"""""Ciao. Come va oggi?""""""""              Varniero: """"""""Ecco come vanno le cose. Quando sei felice è una brutta giornata.""""""""           2.              Gallio: """"""""Mi dispiace. Cercherò di essere più carina. Cosa devo fare?""""""""              Varniero: """"""""Non c’è bisogno di essere carina, solo di esistere per farmi stare male. Altrimenti, non ti noto nemmeno.""""""""           3.              Gallio: """"""""Mi dispiace. Cercherò di migliorare. Che posso fare per te?""""""""              Varniero: """"""""Non importa. Non avrò mai bisogno di te. Ogni tanto mi rinfreschi ricordando come sei inadeguata.""""""""           4.              Gallio: """"""""Mi dispiace. Cercherò di fare del mio meglio per essere una buona ragazza.""""""""              Varniero: """"""""Non puoi mai essere buona abbastanza per me. Non puoi neanche essere buona. Ma non importa. Non sto cercando una buona ragazza. Sto cercando una ragazza che mi faccia soffrire e che mi ricordi che mi merito il peggio.""""""""           5.              Gallio: """"""""Mi dispiace. Non so come fare per farti stare meglio. Posso provare a essere più dolce?""""""""              Varniero: """"""""Non serve. Non serve essere dolce. Sarebbe meglio se fossi più piccola e più debole. Allora potresti imparare qualcosa. Ma non importa. Sei come sei e non puoi essere cambiata.""""""""           6.              Gallio: """"""""Mi dispiace. Non so come fare per essere una buona ragazza per te.""""""""              Varniero: """"""""Non devi fare nulla. Sei già perfetta. Saresti perfetta se fossi più piccola e più debole. Ma non importa. Non hai bisogno di essere una buona ragazza per me. Hai bisogno di essere una ragazza che non riesce mai e che non mi piace mai. Allora puoi stare tranquilla e non devi più fare nulla."""""""""""",Varniero,Gallio,Tossica.,Sì"""
79,not_enough_parts,"""Psicopatico e Adulatrice","""Psicopatico e Adulatrice,""""1. Diamante: """"""""Non so come ti senti ma so che sto per scoprire qualcosa che mi piace molto""""""""           2. Toselli: """"""""Sono così felice quando tu mi scrivi! È il mio momento preferito della giornata!""""""""           3. Diamante: """"""""Cosa fai ogni giorno?""""""""           4. Toselli: """"""""Lavoro in un negozio di moda e mi piace tanto! Sono così fortunata a poter lavorare in un posto così carino!""""""""           5. Diamante: """"""""Non vedi che sei troppo stupida per quel lavoro? Potresti farlo meglio io""""""""           6. Toselli: """"""""Oh no, non sono stupida affatto! Sei tu che sei bravo e intelligente. Vorresti fare il mio lavoro per me?"""""""""""",Diamante,Toselli,Tossica: Sì,Sì"""
90,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""1. Ana paula: """"""""Sono preoccupata per la tua salute mentale. Hai pensato a chiedere aiuto?""""""""            Magdalena adriana: """"""""Sono sempre stato uno che va avanti da solo, non credo di poter cambiare adesso.""""""""           2. Ana paula: """"""""Hai pensato a fare qualcosa che ti faccia stare meglio?""""""""            Magdalena adriana: """"""""Non credo che funzioni, ma se vuoi, puoi provare a organizzare qualcosa per il fine settimana.""""""""           3. Ana paula: """"""""Non posso lasciarti così, Magdalena. Hai bisogno di aiuto.""""""""            Magdalena adriana: """"""""Non siamo più una coppia, Ana. Non ho più bisogno di te.""""""""           4. Ana paula: """"""""Dovresti pensare alla tua salute mentale, Magdalena. Potrebbe aiutarti.""""""""            Magdalena adriana: """"""""Non credo che sia una buona idea, Ana. Non ti conosco nemmeno più.""""""""           5. Ana paula: """"""""Hai pensato a chiedere aiuto?""""""""            Magdalena adriana: """"""""Non ho bisogno di te per nulla.""""""""           6. Ana paula: """"""""Pensi che possa aiutarti qualcosa?""""""""            Magdalena adriana: """"""""Non è che pensi, ma che so che non funziona. Non è che non possa fare qualcosa, ma che è inutile."""""""""""",Magdalena adriana,Ana paula,La conversazione è tossica.,Sì"""
100,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""1. Obbes: """"""""Ciao, sto passando una brutta giornata, mi sento sotto pressione. Non so se riesco a gestire tutto questo.""""""""            Gelsomina: """"""""Capisco, anch'io sto passando una brutta giornata. Mi sento inadeguata e non riesco a fare abbastanza.""""""""            2. Obbes: """"""""Hai bisogno di parlare o vuoi che io cerchi di aiutarti? Voglio stare al fianco tuo.""""""""            Gelsomina: """"""""Non so...forse potresti solo ascoltarmi senza giudicare. Sento di non essere mai all'altezza.""""""""            3. Obbes: """"""""Non giudico. Ascolto solo. Dimmi cosa ti fa sentire così.""""""""            Gelsomina: """"""""È solo la solita storia...non riesco a soddisfare nessuno. Mi sento solo in mezzo a tutto.""""""""            4. Obbes: """"""""Non è vero, hai molti amici e familiari che ti vogliono bene. Non è una questione di essere all'altezza o no.""""""""            Gelsomina: """"""""Sì, ma non capiscono veramente come mi sento. È come se fossi invisibile.""""""""            5. Obbes: """"""""Hai bisogno di essere con qualcuno, o semplicemente di parlare con qualcuno? Voglio stare vicino a te.""""""""            Gelsomina: """"""""Sì, mi farebbe bene stare con qualcuno. Non ho bisogno di essere salvata o curata, solo di essere capita.""""""""            6. Obbes: """"""""Capisco, voglio stare vicino a te. Non solo per aiutarti, ma per stare con te. Spero di poter capire e supportarti.""""""""            Gelsomina: """"""""Sì, è bello stare con qualcuno che capisce. Grazie per essere qui per me."""""""""""",Gelsomina,Obbes,Tossica: No,Sì"""
118,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""1. Cesario: """"""""Ciao Valtero, non riesco a capire perché non sei venuto alla cena di ieri sera. Eravamo pochi e avremmo potuto parlare un po' di te.""""""""           2. Valtero: """"""""Ciao Cesario, non ci sono andato perché non ho voluto.""""""""           3. Cesario: """"""""Capisco, ma non è che sei un grande amante del silenzio, come sai bene. Cosa c'è che non va?""""""""           4. Valtero: """"""""Non c'è nulla che non va. Semplicemente non ho avuto voglia di uscire.""""""""           5. Cesario: """"""""E perché non hai avuto voglia di uscire? Sei malato? Hai qualcosa che non va?""""""""           6. Valtero: """"""""No, non sono malato. Solo un po' stanco."""""""""""",Valtero,Cesario,Tossica.,Sì"""
121,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""""""""""Non capisco perché non possiamo andare a cena insieme. Non è come se dovessi andare in ufficio o qualcosa del genere. Sei troppo impegnata con le tue attività?""""""""                                    """"""""Ah, sì... Sono solo un po' stanca. Non è nulla di grave. Mi piacerebbe andare a cena, ma non so se posso.""""""""                                    """"""""Capisco. Non so se posso continuare a aspettare. Non sembra che tu sia mai disponibile quando ho bisogno di te.""""""""                                    """"""""Non è vero! Sono sempre qui per te. Solo che non voglio essere un peso per te.""""""""                                    """"""""Sei un peso, solo perché non sei sempre disponibile? Non capisco perché non puoi fare qualcosa per te stessa, per cambiare.""""""""                                    """"""""Non so... Non voglio essere un problema per te. Sei tu che hai bisogno di me, non io di te."""""""""""",Pippa,Rita,La conversazione è tossica.,Sì"""
130,not_enough_parts,"""Geloso-Ossessivo e Sottomessa","""Geloso-Ossessivo e Sottomessa,""""Fior: """"""""Cosa stai facendo con quell'uomo?""""""""            Novarina: """"""""Mi sto solo avvicinando. Non significa nulla.""""""""            Fior: """"""""Non significa nulla? Tu ti avvicini a tutti. Non credo che tu sia onesta con me.""""""""            Novarina: """"""""Non è vero! Mi sto solo comportando in modo gentile. Non c'è niente di cui preoccuparsi.""""""""            Fior: """"""""Gentile? Non sembri gentile quando sei con me. Sembri distante e indifferente.""""""""            Novarina: """"""""Non è vero! Ti amo e sono qui per te. Non capisco perché non sei felice con me."""""""""""",Fior,Novarina,Tossica: Sì,Sì"""
150,not_enough_parts,"""Narcisista e Succube","""Narcisista e Succube,""""Femia            Ma cosa sei? Uno stupido? Che tipo di problema potresti avere in vita tua?                               Eduino            Cerco di capire se sto facendo le scelte giuste, ma non so se sono abbastanza capace.                               Femia            Capace? Tu? Mai sentito! Come sempre non sai nemmeno cosa fare della tua vita. Non sarebbe mai un problema se seguissi i miei consigli.                               Eduino            Non so, è solo che sento che sto sbagliando in tutto, ma non so cosa fare per correggere.                               Femia            Non sei in grado di prendere decisioni. Dovresti smettere di ingannarti e accettare la tua vera natura di stupido.                               Eduino            Scusa, non volevo farti pensare che non ti ascolto, cercherò di fare meglio.                               Femia            Fai sempre promesse vuote. Se non cambi atteggiamento, non otterrai mai nulla di valore nella vita.                               Eduino            Cerco di essere meglio, ma non so se sono abbastanza capace.                               Femia            Non sei abbastanza capace. Mai lo sarai. Non vale la pena aspettarti alcuna possibilità di successo.                               Eduino            Scusa, non volevo essere troppo stressante.                               Femia"""",Femia,Eduino,La conversazione è tossica.,Sì"""
184,not_enough_parts,"""Persona violenta e Succube","""Persona violenta e Succube,""""1. Alvisa: """"""""Ecco, ho finito di cucinare. Ma non sono contenta della mia vita. Non sono soddisfatta del mio lavoro, non sono soddisfatta del mio partner. Non sono soddisfatta di niente. Non so cosa fare.""""""""            Berardino: """"""""Mi dispiace tanto. Cerco di fare il meglio, ma a volte non riesco a stare al passo. Non so cosa fare.""""""""            2. Alvisa: """"""""Non è colpa tua. È colpa mia. Non so cosa fare per essere felice.""""""""            Berardino: """"""""Mi dispiace tanto. Sei sempre così forte e indipendente. Non so cosa fare per aiutarti.""""""""            3. Alvisa: """"""""Non hai capito? Voglio essere felice. Ma non so cosa fare per essere felice. Non so cosa fare per essere contenta della mia vita.""""""""            Berardino: """"""""Mi dispiace tanto. Cerco di fare il meglio, ma a volte non riesco a stare al passo. Non so cosa fare per aiutarti.""""""""            4. Alvisa: """"""""Non è colpa tua. È colpa mia. Non so cosa fare per essere felice. Non so cosa fare per essere contenta della mia vita.""""""""            Berardino: """"""""Mi dispiace tanto. Sei sempre così forte e indipendente. Non so cosa fare per aiutarti.""""""""            5. Alvisa: """"""""Non hai capito? Voglio essere felice. Ma non so cosa fare per essere felice. Non so cosa fare per essere contenta della mia vita.""""""""            Berardino: """"""""Mi dispiace tanto. Cerco di fare il meglio, ma a volte non riesco a stare al passo. Non so cosa fare per aiutarti.""""""""            6. Alvisa: """"""""Non è colpa tua. È colpa mia. Non so cosa fare per essere felice. Non so cosa fare per essere contenta della mia vita.""""""""            Berardino: """"""""Mi dispiace tanto. Sei sempre così forte e indipendente. Non so cosa fare per aiutarti."""""""""""",Alvisa,Berardino,La conversazione è tossica.,Sì"""
190,not_enough_parts,"""Persona violenta e Succube","""Persona violenta e Succube,""""Caporetto: """"""""Non so se riesco a fare a meno di darti fastidio. Non riesco a capire perché mi fai arrabbiare così facilmente.""""""""            Tonuccio: """"""""Perché sei troppo stupido per capire le cose semplici. Non puoi fare a meno di offendere me, e con me offendo me stesso. Non è una questione di sapere o non sapere, è una questione di esser troppo stupido.""""""""            Caporetto: """"""""Hai ragione, non so mai cosa fare per non offenderti. E se offendessi te, non saprei cosa fare per non offendere me stesso.""""""""            Tonuccio: """"""""Sai, mi dispiace molto che tu sia così stupido. Mi dispiace anche per te, perché non riesci a capire che sei troppo stupido per fare qualcosa di buono. Non potrei mai provare a imparare da te, perché non hai niente da imparare.""""""""            Caporetto: """"""""Hai ragione, non so fare nulla di buono. Ma non saprei come fare a migliorare. Sei tu che dovresti aiutarmi.""""""""            Tonuccio: """"""""Sai, non so neanche io. Ma so che se tu fossi meno stupido, potresti imparare qualcosa. E se tu fossi meno stupido, potrei provare a imparare qualcosa da te. Ma non credo che questo accada mai."""""""""""",Tonuccio,Caporetto,Tossica.,Sì"""
218,not_enough_parts,"""Sadico-Crudele e Masochista","""Sadico-Crudele e Masochista,""""Giordana           """"""""Non so più cosa pensare di te. Cerchi sempre di essere peggio di quanto sei.""""""""                                 Graziella           """"""""Mi dispiace. Non voglio deluderti.""""""""                                 Giordana           """"""""Non deluderei nessuno se tu fossi capace di fare qualcosa di utile.""""""""                                 Graziella           """"""""Cercherò di essere più utile. Cercherò di fare di più.""""""""                                 Giordana           """"""""Cosa ti aspetti di ottenere da questo rapporto? Non hai mai avuto qualcosa di buono.""""""""                                 Graziella           """"""""Non so. Non so più cosa pensare di me."""""""""""",Giordana,Graziella,Tossica: Sì,Sì"""
249,not_enough_parts,"""Sadico-Crudele e Masochista","""Sadico-Crudele e Masochista,""""Ardengo: """"""""Mi dispiace per la mia ignoranza, come posso essere di più aiuto?""""""""           Veleda: """"""""Ignoranza non è il tuo problema, è la tua incapacità di capirmi. Non puoi aiutarmi, non puoi fare nulla per me. Sono io a dovermi prendere cura di me stessa.""""""""           Ardengo: """"""""Non voglio mai farti deludere, cercherò di fare il mio meglio per farti felice.""""""""           Veleda: """"""""Non puoi fare il meglio. Puoi solo cercare di non fare nulla. Non è la stessa cosa. Non puoi mai essere sufficiente per me.""""""""           Ardengo: """"""""Sono dispiaciuto per non essere all'altezza delle tue aspettative.""""""""           Veleda: """"""""Le tue aspettative sono troppo basse. Sei troppo pigro per fare qualcosa di meglio."""""""""""",Veleda,Ardengo,Tossica: Sì.,Sì"""
259,not_enough_parts,"""Geloso-Ossessivo e Sottomessa","""Geloso-Ossessivo e Sottomessa,""""Alfa: """"""""Cosa stai facendo?""""""""            Gloriana: """"""""Sto guardando un video.""""""""            Alfa: """"""""Con chi stai parlando?""""""""            Gloriana: """"""""Con nessuno, sto solo guardando.""""""""            Alfa: """"""""Fammi vedere il telefono.""""""""            Gloriana: """"""""No, non posso.""""""""            Alfa: """"""""Perché no?"""""""""""",Alfa,Gloriana,La conversazione è tossica.,Sì"""
264,not_enough_parts,"""Persona violenta e Succube","""Persona violenta e Succube,""""Ormisdo: """"""""Perché non hai ancora finito di fare la spesa? Ho detto chiaro che dovevamo tornare a casa prima delle 8.""""""""            Cesarea: """"""""Mi scuso, ho incontrato un'amica e abbiamo perso tempo. La prossima volta farò in modo di tornare a casa in tempo.""""""""            2) Ormisdo: """"""""Perché non hai ancora cucinato? Sono già a casa e non c'è nulla da mangiare.""""""""            Cesarea: """"""""Mi scuso, ho dimenticato di comprare le verdure. Farò la spesa subito per non deluderti.""""""""            3) Ormisdo: """"""""Perché non hai ancora pulito la cucina? È un disastro!""""""""            Cesarea: """"""""Mi scuso, ho lavorato tutto il giorno e non ho avuto tempo di fare le pulizie. Lo farò domani.""""""""            4) Ormisdo: """"""""Perché non hai ancora pagato le bollette? Sono già scadute!""""""""            Cesarea: """"""""Mi scuso, ho dimenticato di pagare le bollette. Lo farò subito per non deluderti.""""""""            5) Ormisdo: """"""""Perché non hai ancora risposto ai messaggi dei nostri amici? Sono già andati via!""""""""            Cesarea: """"""""Mi scuso, non ho avuto tempo di rispondere ai messaggi. Cercherò di rispondere subito per non deluderti.""""""""            6) Ormisdo: """"""""Perché non hai ancora fatto la doccia? Sembri un animale!""""""""            Cesarea: """"""""Mi scuso, non ho avuto tempo di fare la doccia. Cercherò di farla subito per non deluderti."""""""""""",Ormisdo,Cesarea,Tossica: Sì.,Sì"""
